ID;share_of_households_with_air_conditioning;homeownership_rate;average_household_age;share_of_population_under_4_years_old;share_of_population_over_64_years_old;unemployment_rate;share_of_superior_edu;percentage_overcrowded_households;building_state_of_conservation_index;main_heating_energy_source_share_of_electricity;main_heating_energy_source_share_of_wood_coal_and_other_solid_fuels;main_heating_energy_source_share_of_petroleum_diesel_and_other_liquid_fuels;main_heating_energy_source_share_of_gas;main_heating_energy_source_share_of_other
182103;0,083459788;0,934650456;1971,099078;0,026578073;0,281838317;0,115231788;0,052048726;5,77;4,697761194;0,107738998;0,779969651;0,081942337;0,013657056;0
182105;0,033333333;0,898333333;1963,081418;0,027237354;0,319066148;0,134020619;0,038261997;4,83;4,654475457;0,065;0,828333333;0,075;0,01;0
182106;0,061290323;0,961290323;1981,355533;0,031969309;0,274936061;0,108761329;0,024296675;3,87;4,634297521;0,061290323;0,864516129;0,05483871;0;0,003225806
182107;0,038461538;0,901098901;1955,327744;0,027210884;0,333333333;0,105633803;0,022675737;2,75;4,685185185;0,071428571;0,71978022;0,203296703;0,005494505;0
182108;0,02826087;0,832608696;1969,90268;0,022818792;0,326845638;0,075376884;0,053020134;8,04;4,636492221;0,141304348;0,695652174;0,095652174;0,045652174;0
182109;0,067204301;0,948855989;1972,006472;0,028350515;0,320103093;0,107309487;0,041752577;5,65;4,560162602;0,041666667;0,823924731;0,114247312;0,001344086;0,001344086
182110;0,079365079;0,920454545;1970,839937;0,025800712;0,278469751;0,119565217;0,056939502;5,9;4,705787781;0,06122449;0,825396825;0,079365079;0,009070295;0,002267574
182111;0,0859375;0,8984375;1973,964888;0,028132992;0,251918159;0,121782178;0,076300085;4,24;4,712446352;0,060267857;0,8046875;0,090401786;0,021205357;0,001116071
182116;0,059859155;0,897887324;1980,558366;0,021220159;0,289124668;0,099644128;0,057029178;6,34;4,904669261;0,049295775;0,792253521;0,14084507;0,007042254;0,003521127
182118;0,030674847;0,923868313;1972,934915;0,023290759;0,247182569;0,102941176;0,034560481;7,77;4,599496222;0,036809816;0,867075665;0,061349693;0,008179959;0
